time,content,footer,truth
"stated on September 17, 2020 in a tweet:",Says “some people in the Great State of North Carolina have been sent TWO BALLOTS. RIGGED ELECTION in waiting!”,"By Paul Specht • September 22, 2020",barely-true
"stated on September 16, 2020 in a pair of tweets:",Says Joe Biden played N.W.A.’s “F--- Tha Police” during an event in Florida.,"By Bill McCarthy • September 16, 2020",pants-fire
"stated on September 10, 2020 in a speech at a rally in Michigan:","""After the last administration nearly killed the US auto industry, I saved the U.S. auto industry ... We brought you a lot of car plants… (and Japan) “announced five car companies are coming to Michigan.”","By Jon Greenberg • September 11, 2020",false
"stated on September 10, 2020 in a speech in Michigan:",Says Joe Biden “will destroy your protections for pre-existing conditions.”,"By Miriam Valverde • September 11, 2020",pants-fire
"stated on September 1, 2020 in a television interview:",“There was tremendous cheating in New York”,"By Jill Terreri Ramos • September 11, 2020",pants-fire
"stated on September 7, 2020 in a press conference:","Election officials are “sending 80 million ballots all over the country. Eighty million ballots, non-requested. I call them ‘unsolicited ballots.’”","By Amy Sherman • September 10, 2020",barely-true
"stated on September 7, 2020 in a press conference:","""Under Operation Warp Speed, we’ve pioneered groundbreaking therapies, reducing the fatality rate 85% since April.”","By Louis Jacobson • September 9, 2020",half-true
"stated on September 3, 2020 in a tweet:","""I never called John (McCain) a loser.""","By Louis Jacobson • September 4, 2020",pants-fire
"stated on September 1, 2020 in News release:","“Biden failed to condemn far-left violent groups like Antifa, instead faulting only the brave men and women of law enforcement.”","By Madeline Heim • September 3, 2020",false
"stated on September 1, 2020 in a Fox News interview:",“Only 6% of the people actually died from COVID.” The others “died from other reasons.”,"By Daniel Funke • September 3, 2020",pants-fire
"stated on August 31, 2020 in a press conference:",“The entire city (of Portland) is ablaze all the time.”,"By Bill McCarthy • September 1, 2020",false
"stated on August 31, 2020 in Media briefing:","Says video shows Kyle Rittenhouse, the 17-year-old charged with killing two protesters in Kenosha, ""was trying to get away from them"" ... ""fell, and then they violently attacked him.""","By Haley BeMiller • September 1, 2020",false
"stated on August 31, 2020 in a tweet:","“If I didn’t INSIST on having the National Guard activate and go into Kenosha, Wisconsin, there would be no Kenosha right now.”","By Eric Litke • September 1, 2020",pants-fire
"stated on August 20, 2020 in a speech:",“Cuomo ended cash bail ... and now the crime rate has gone through the roof.”,"By Jill Terreri Ramos • August 29, 2020",false
"stated on August 20, 2020 in a rally:",Says Joe Biden “abandoned Scranton.”,"By Jessica Calefati • August 29, 2020",pants-fire
"stated on August 27, 2020 in a speech at the RNC:",Says Joe Biden “is even talking about taking the wall down.”,"By Miriam Valverde • August 28, 2020",false
"stated on August 20, 2020 in comments in Scranton, Pa.:","“So this is just a way they’re trying to steal the election, and everybody knows that. Because the only way they’re going to win is by a rigged election.”","By Louis Jacobson • August 24, 2020",pants-fire
"stated on August 19, 2020 in a tweet:","Says President Barack Obama “spied on my campaign, and got caught!”","By Jon Greenberg • August 20, 2020",false
"stated on August 19, 2020 in a tweet:",Goodyear Tires “announced a BAN ON MAGA HATS…This is what the Radical Left Democrats do.”,"By Noah Y. Kim • August 19, 2020",barely-true
"stated on August 17, 2020 in a speech:","The coronavirus has seen a “big surge in New Zealand. It's terrible. We don't want that.""","By Bill McCarthy • August 18, 2020",false
"stated on August 18, 2020 in a tweet:","“In California, Democrats have intentionally implemented rolling blackouts.”","By Chris Nichols • August 18, 2020",false
"stated on August 17, 2020 in a campaign rally speech in Wisconsin:","""Our (COVID-19) numbers are better than almost all countries.""","By Jon Greenberg • August 18, 2020",false
"stated on August 16, 2020 in a Wall Street Journal op-ed:","“For the past three years, the state senator who represents Speaker Nancy Pelosi’s San Francisco, has led a push to abolish single-family zoning in California.”","By Chris Nichols • August 17, 2020",half-true
"stated on July 29, 2020 in a Tweet:",“New York Mail-In voting is in a disastrous state of condition. Votes from many weeks ago are missing - a total mess. They have no idea what is going on. Rigged Election.”,"By Jill Terreri Ramos • August 14, 2020",barely-true
"stated on August 8, 2020 in press briefing in Bedminster, N.J.:",“The Democrats don’t want to do anything having to do with protecting people from eviction.”,"By Sophie Austin • August 13, 2020",false
"stated on August 5, 2020 in a Fox and Friends interview:",Children are “almost immune from this disease.”,"By Amy Sherman • August 6, 2020",false
"stated on July 20, 2020 in Campaign ad:",Says “Joe Biden is absolutely on board with defunding the police.”,"By Laura Schulte • August 5, 2020",false
"stated on July 25, 2020 in a tweet:","Under an executive order, “expensive insulin went from big dollars to virtual pennies … especially (for) our seniors.”","By Jon Greenberg • August 3, 2020",barely-true
"stated on July 30, 2020 in a press conference:",Absentee voting is different from mail-in voting and has more protections against fraud.,"By Louis Jacobson • July 31, 2020",false
"stated on July 21, 2020 in a White House briefing:",“We're setting record job numbers.”,"By Louis Jacobson • July 24, 2020",barely-true
"stated on July 22, 2020 in a speech:",“Murders this year have spiked 27% in Philadelphia.”,"By Jessica Calefati • July 24, 2020",true
"stated on July 19, 2020 in an interview with Fox News' Chris Wallace:",“We have one of the lowest mortality rates in the world” from COVID-19.,"By Louis Jacobson • July 20, 2020",false
"stated on July 14, 2020 in a press conference in the Rose Garden:",“Joe Biden wants to end school choice.”,"By Jon Greenberg • July 17, 2020",barely-true
"stated on July 14, 2020 in White House Rose Garden:","Says Joe Biden plans to “mandate net-zero carbon emissions for homes, offices and all new buildings by 2030. That basically means no windows, no nothing.”","By Sophie Austin • July 17, 2020",false
"stated on July 14, 2020 in a White House speech:","Under Joe Biden’s policy, immigrants in the country illegally “get welfare benefits. United States citizens don't get what they're looking to give illegal immigrants.”","By Miriam Valverde • July 17, 2020",false
"stated on July 14, 2020 in remarks in the White House Rose Garden:","A Joe Biden-Bernie Sanders “unity” policy document shows “they want to abolish our police departments. They want to abolish our prisons, I guess.”","By Louis Jacobson • July 17, 2020",pants-fire
"stated on July 4, 2020 in a Fourth of July speech:",Says 99% of COVID-19 cases “are totally harmless.”,"By Jon Greenberg • July 6, 2020",false
"stated on June 23, 2020 in a tweet:","As of June 23, the COVID-19 death rate is “way down.”","By Louis Jacobson • June 24, 2020",mostly-true
"stated on June 23, 2020 in a tweet:",COVID-19 cases are “up only because of our big number testing.”,"By Louis Jacobson • June 24, 2020",false
"stated on June 20, 2020 in a campaign rally:","“Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.”","By Sophie Austin • June 23, 2020",false
"stated on June 18, 2020 in a Tweet:",CNN aired a video of a toddler running away from another toddler with the headlines “Terrified toddler runs from racist baby” and “Racist baby probably voted for Trump.”,"By Samantha Putterman • June 19, 2020",pants-fire
"stated on June 17, 2020 in an interview with the Wall Street Journal:",Says before he planned a rally on June 19 “nobody had ever heard of” Juneteenth.,"By Jon Greenberg • June 18, 2020",pants-fire
"stated on June 16, 2020 in a speech:",“President Obama and Vice President Biden never even tried to fix this (police reforms) during their eight-year period.”,"By Miriam Valverde • June 18, 2020",false
"stated on June 15, 2020 in remarks during a roundtable discussion:","“If we stopped testing right now, we'd have very few cases, if any.”","By Shefali Luthra • June 17, 2020",pants-fire
"stated on June 9, 2020 in a tweet:","""Buffalo protester shoved by Police could be an ANTIFA provocateur. 75 year old Martin Gugino was pushed away after appearing to scan police communications in order to black out the equipment ... Was aiming scanner. Could be a set up?""","By Bill McCarthy • June 9, 2020",false
"stated on June 7, 2020 in a tweet:","Says Joe Biden wants to ""defund the police.""","By Bill McCarthy • June 9, 2020",false
"stated on June 3, 2020 in a tweet:",Says he’s the one who gave the nickname “Mad Dog” to former Defense Secretary James Mattis.,"By Louis Jacobson • June 4, 2020",pants-fire
"stated on May 30, 2020 in a tweet:","During protests outside the White House, Mayor Muriel Bowser ""wouldn't let the D.C. Police get involved.""","By Bill McCarthy • June 1, 2020",pants-fire
"stated on May 24, 2020 in a tweet:","“Cases, numbers and deaths (of COVID-19) are going down all over the Country!”","By Louis Jacobson • May 28, 2020",half-true
"stated on May 26, 2020 in a tweet:",“Twitter is completely stifling FREE SPEECH” by adding a fact-check label to Trump’s tweet.,"By Bill McCarthy • May 27, 2020",pants-fire
"stated on May 25, 2020 in a tweet:","“[U.S. Rep. Conor Lamb] said he would NOT vote for [Nancy Pelosi] for Speaker, and did.”","By Jessica Calefati • May 27, 2020",pants-fire
"stated on May 26, 2020 in a tweet:","California Gov. Gavin Newsom “is sending Ballots to millions of people, anyone living in the state, no matter who they are or how they got there, will get one"" and the election is ""Rigged.""","By Chris Nichols • May 26, 2020",pants-fire
"stated on May 26, 2020 in a tweet:",There are “many unanswered and obvious questions” about the 2001 death of a staff member of Joe Scarborough.,"By Jon Greenberg • May 26, 2020",pants-fire
"stated on January 30, 2020 in remarks at a public event in Des Moines:","""Under three years of my administration, net farm income has already gone up nearly 50%.""","By Julia Shanahan • May 22, 2020",mostly-true
"stated on May 19, 2020 in a speech:","“On the Southern border, as you know, the wall is going up, it's going up very rapidly. We're at 182 miles.”","By Miriam Valverde • May 20, 2020",half-true
"stated on May 14, 2020 in an interview with Fox Business:","Speaking about border apprehensions, said “We have some of the best numbers we've ever had. Southern border, the best numbers we've ever had.”","By Miriam Valverde • May 20, 2020",half-true
"stated on May 20, 2020 in a tweet:",“Rogue” Michigan official sent absentee ballots to 7.7 million people “illegally and without authorization” ahead of the primaries and general election.,"By Amy Sherman • May 20, 2020",pants-fire
"stated on May 19, 2020 in remarks to reporters at the Capitol:","“If you look at the one (hydroxychloroquine) survey, the only bad survey, they were giving it to people that were in very bad shape. They were very old. Almost dead.”","By Jon Greenberg • May 20, 2020",false
