Title,Date,Article
#OperationRadiation – The Video BANNED From Youtube. They Don’t Want You To Know What Is Coming.,"August 25, 2020","Logic Before Authority – June 16, 2020
—
#OperationRadiation T-Store: https://teespring.com/stores/operationradiation
#OperationRadiation 500 Business Cards “PUBLIC ALERT STYLE” to put on cars and hand out. Instructions:
1. Go to: http://www.paypal.me/logicbeforeauthority
2. TYPE in the “Note” field your shipping address for the 500 red 2″1/2″ BY 2″ 1/2″ PUBLIC ALERT Cards to be shipped to.
3. Send $30 to me. This covers the printing of the cards and shipping.
4. FINAL NOTES: There is no profit in the pricing for me. If you wish to donate any additional, just increase what you send by whatever you like or just send the $30. Either way is fine. I will submit the order for you and if needed provide an update via email or video.
5. IF you happen to want more than 1 set of 500 cards.. Submit a second paypal transaction. Easier for me to keep trace of.
This is where to donate any funds to fund the promotion of the video #OperationRadiation .
#OperationRadiation Money Pool: https://paypal.me/pools/c/8oxZtntnTU"
James Corbett in Democracy Down,"July 25, 2020","James Corbett – The Corbett Report July 24, 2020
When I was in Mexico earlier this year, I was interviewed by Drew Media for “Democracy Down,” a documentary that explores the future of human organization in interviews with thought-leaders across the political and philosophical spectrum. Each week, they are releasing the lightly edited raw interviews for this project, and here is the interview they recorded with me.

—
VIDEO COURTESY: Drew Media / LBRY / YouTube
SHOW NOTES:
Drew Media on LBRY / Minds / Facebook
Who Is Bill Gates?
Episode 328 – The Bitcoin Psyop
Episode 230 – Social Engineering 101
José Delgado, implants, and electromagnetic mind control
How & Why Big Oil Conquered the World
Planned Parenthood Exposed
Century of Enslavement: The History of the Federal Reserve
YouTube Blacklists Federal Reserve Information. It’s Up To YOU To Spread It!
Source"
"Riots, Race, Religion and Revolution – The Truth About What is Happening In America","June 9, 2020","E. Michael Jones – YouTube June 8, 2020"
The Story of Influenza. An Important Tale to Tell Your Friends.,"May 15, 2020","No One To Vote For – May 14, 2020
It is highly recommended that readers use the following uncontroversial, historical detail as a (rather bland and unobtrusive) instrument that just might wake up those who are still sleeping.
The word “influenza” originated in Italy. The first record of this strange and inexplicable illness  occurred around the year 1580. As the phenomenon recurred, acute observers recognised that it tended to ‘pop up’ simultaneously in multiple locations, sometimes on multiple continents. In an effort to explain this cognitively dissonant fact, Italian ‘scientists’ examined sun-spot records and noticed that outbreaks always seemed to coincide with peaks of sun-spot activity.
Coronal Mass Ejection as seen by Solar Dynamics Observatory June 7, 2011. Click to enlarge
They understood that when the sun’s surface (or CORONA) was most active, there were mass-ejections from the sun that manifested as spectacular displays of the Aurora Borealis in northern climes and that there were also magnetic effects (or magnetic ‘waves’) from the sun that struck the earth with uncommon intensity at these times.

Thus the word “INFLUENZA became the name of this illness. “Influenza” being short for “Influenza delle stelle” …  INFLUENCE OF THE STARS.
So, by the early 1600s European scientists had worked out that the cause of the illness now known as ‘influenza’ was the effect of unusual magnetic waves impacting the human body.
This “flu” narrative was accepted throughout the 1700s and 1800s. There were multiple references to the illnesses brought on by the proliferation of telegraph communications and the installation of AC power grids in US cities. Some of the reported effects were very serious for the persons involved, listlessness, loss of energy, depression, headaches and much more*.
The ‘electric/magnetic’ causation narrative continued as a model for explaining ‘flu’ symptoms right up until about 1920 and the global catastrophe of 1918/19 that was ‘The Spanish Flu’.
THE SPANISH FLU
Again, this illness spread so fast that scientists could not explain the rate of contagion by human-to-human transfer of particles but it was the SECOND WAVE of Spanish Flu that killed tens of millions of people right across the world.

The US Surgeon General ordered a series of investigations into the nature of this disastrous contagion. One such series of experiments were conducted using 100 healthy volunteers from the US Navy by bringing them into close, controlled contact with patients suffering from the illness. A number of tests were repeatedly performed. Blood was extracted from the sick and injected into the volunteers. Patients spat into trays and the uninfected drank their sputum. Patients sneezed and coughed while volunteers, nose-to-nose, inhaled the droplets ejected as deeply as they could.

Doctors found, to the amazement of many, that NONE OF THE VOLUNTEERS GOT SICK. 

This ‘Influenza’ COULD NOT BE TRANSFERRED FROM ONE PERSON TO ANOTHER.

IT WAS NOT CONTAGIOUS.

Many scientists and thinkers of the day, such as Rudolf Steiner, declared that the apparent “contagion” was the result of simultaneous exposure to the new RADIO WAVES (electro-magnetic frequencies) that were being broadcast for the first time across almost the entire world.

Given that 50 million died, ELECTRICITY AS POTENTIAL CAUSE OF DEATH was not an idea that our finance rulers could allow the public at large to believe. This awareness was excluded from the public domain and the false ‘virus’ narrative was invented to explain ‘the flu’.

If the public had been allowed to think that electrical installations and the radiation thereof might KILL them, then the entire 20th Century couldn’t have happened. All plans for development, industrialisation and corporate profits involved electricity. The establishment needed another story.

They got it. The ‘virus’ narrative exactly mirrors the ‘new EMF’ narrative of causation of influenza. 

A virus keeps mutating. Our bodies adjust to the old virus/emf frequency and we are then OK until a new mutation/new frequency comes along.

People should be aware that:

1) As German New Medicine has been asserting since the 1980s, no virus has ever been isolated or purified from human tissue …. though it is easy to do this with viruses found on algae, for instance. GNM says that the ‘virus model’ for disease is fictional nonsense. Having read two of GNM’s publications on this subject, it is impossible to disagree.

2) ‘Electrical’ diseases (like influenza) appear to affect some individuals very badly and others hardly at all.
During the Spanish Flu it was noticed that the worst symptoms occurred in young, healthy people between the ages of about 20 and 35. They often did not die, but they suffered the most. I noticed this same phenomenon during the recent period of the COVID flus. Young adults got it worst. It was they who lost their senses of taste and smell, for instance, and were laid up in bed with fevers.
In the early 1920s there is a record of a doctor writing a newspaper column wondering publicly if his advice to patients to “keep themselves healthy” might be bad advice given that being healthy made you most vulnerable to extreme suffering during this illness.

3) The fact that some were not vulnerable to the flu (did anyone notice during this year’s so-called-pandemic that one person in a family could fall hard to the illness whilst a sibling or parent in the same house did not catch it at all?) … this allowed the powerful, using Sigmund Freud as a mouthpiece, to declare that because only some were affected, then all claims of “electrical ailments” have purely psychological causes. They are illnesses of the imagination, hypnotically self-induced … they have no basis in physical reality.
…. and here we are today, collectively acting as though proximity to our neighbour might place us in mortal peril.

There is no debate re the good sense of this approach (even if such contagion was reality, this strategy for dealing with the illness is stupid). There is zero debate allowed regarding possible EMF causation to the recent pandemic.

… even though many experts, including Barry Trower, have clearly described the terrible dangers of the new system being constructed around us as we speak.
… even though we know that frequencies and intensities broadcast from the new masts are computer-controlled and we can be zapped by whatever chosen frequencies or intensities our rulers choose to use. The phone companies have completed their research on the effects of the broadcast signals but they refuse to share the data they have gleaned from experiments. 

Every new frequency is equivalent to a new virus. It will be alien to our body and our body will adjust to a new frequency in the normal way … by getting ill with “influenza”. 
The COVID-19 bull**** is an operation. 
Our rulers are pursuing an agenda and they will not stop now.

Something terrible is coming. The recent illness gave many victims ‘Hypoxia lite’ (their body’s haemoglobin could not fully absorb the oxygen they inhaled). The second wave will be way worse than the first. The first was a practice (a ” live exercise” as Pompeo called it). Illness, war, financial collapse, famine … anything is possible … but, whatever happens, expect it to be bad.

… we will soon endure the darkest hours before a new and wonderful dawn. We have collectively swallowed many barrels of poisonous, Satanic lies. 

However, we must be of good heart for soon we will know the truth and that truth will set the whole world free.
* P.S. The most important book written this century, so far, is surely Arthur Firstenberg’s “The Invisible Rainbow” from which most of the information in the above article was taken.
Every chapter contains breathtaking information (regarding all kinds of issues not mentioned above), information of which everybody should be aware.

Source"
Israeli Historian Discovers ‘6 Million’ Holocaust Figure Was Invented at Zionist Conference In 1944,"May 1, 2020","Eric Striker – The Unz Review April 30, 2020
Otto Adolf Eichmann on trial in 1962
Boston University’s director of the Elie Wiesel archive, Bar-Ilan University’s Institute of Holocaust Research historian Joel Rappel has discovered the origin of the infamous “6,000,000” number: a 1944 meeting of Zionist pioneering organizations in what is now known as the state of Israel.
For years, supporters of the Holocaust narrative have held that the number first appeared at the Nuremberg trials using highly discredited testimony by Auschwitz commandant Rudolf Hoss. The 6,000,000 figure was again repeated by Adolf Eichmann, who was kidnapped by the Mossad and forced to participate in an internationally televised 1962 show trial in Israel.
According to documents in the Central Zionist Archive, the first mention of the 6 million claim was at a meeting of high ranking Zionist political figures in Palestine on January 19th, 1944 — more than a year before the war in Europe ended and a census could be taken, and a year before the Red Army entered Auschwitz.
Rappel names Eliezer Unger, a Polish-Jew who helped lead the Hashomer Hadati religious Zionist youth organization, as the major figure in developing the count of Jews killed by the Nazis. Unger claimed to have escaped from his Polish ghetto through Eastern Europe. After arriving in Palestine, he stated his intention “to shock the entire world, all of humanity and our brothers the Children of Israel in particular.” Unger had no evidence for what he was saying, but he did not believe Rabbi Stephen Wise’s assertions in the international media in 1943 of 2 million Jews being killed was making enough of an impact.
After Unger met with the Jewish groups and got them all on the same page, Haaretz published a small article a few days later that for the first time put the 6 million figure on the record, preceding German military leaders tortured into making confessions after the war. It doesn’t appear that Unger mentioned anything about homicidal gas chambers.
The Haaretz article ends the revelation by quoting Eichmann’s chief prosecutor Gideon Hausner, who on the 6 million number stated: “In the consciousness of the nation the number 6 million has become sanctified. It’s not so simple to prove that. We did not use this number in any official document, but it became sanctified.” In other words, it’s a lie.
After decades of killing, imprisoning, firebombing and bankrupting Holocaust revisionists, it seems that the Jewish community is now being forced to recalibrate their narrative and give more and more ground. That they are now beginning to concede that the “6 million” is nothing more than Zionist propaganda is a major blow to the myth.
(Republished from National Justice by permission of author or representative)"
Essential viewing: The most important video on covid 19 & 5G,"April 13, 2020","whats really going on — YouTube April 7, 2020"
"Must See: Coronavirus, Noahide Laws, End Time – What’s Up","March 24, 2020","Walter Veith & Martin Smith — What’s Up, Prof? March 22, 2020"
“David Goldberg” Admitted he was Jewish Agent,"September 6, 2019","henrymakow.com – Sept 5, 2019

—
A March 2019 recording establishes Goldberg’s loyalties. He wasn’t trying to save the goyim from Jewish fanatics who have taken control of the White House, as implied in later recordings. 
He was not murdered. He is a psyop.
There is no evidence he is a real person. His purpose was to tell the goyim they must fall into line. 
by Henry Makow PhD
In March “David Goldberg”, a Mossad-ADL psyop demanded Adam Green shut down his website, Know More Jews. Goldberg admitted Green was telling the truth about the Cabalist Jewish agenda and that was the problem.
“You are making too much sense to white people. You are making valid points. They are starting to put the puzzle pieces together. Shut it down, you cockroach.”
The Cabalist Jewish agenda is to enslave the goyim, he says. “We are chosen. We rule over you. Goyim, you are cattle to us. Israel is your authority.”
  Continues …"
Anne Frank Diary Fraud Finally Admitted,"April 3, 2019","Der Himmelstern – Jan 24, 2016
Anne Frank. Click to enlarge
Finally, the long time fraud of Anne Frank’s diary was publicly admitted by the Anne Frank Foundation. Anne Frank’s diary was co-authored by her father and thus the credibility of the diary ultimately comes to an end.
The official admissions from the Anne Frank Foundation, and the evidence of two distinct handwritings:
The Basel, Switzerland, Anne Frank Fonds (Anne Frank Fund), which controls the copyright to the Diary of Anne Frank, has admitted that the book was in fact at least co-authored by Otto Frank, Anne’s father, after the war.
The admission proves that the book, which is still heavily promoted as a “holocaust memoir”, is in fact largely a postwar fabrication which contained parts of the young Anne’s diary with extensive additions added by her father. This is obvious from even a cursory look at the actual diary. See, for example, the image below of two pages from the diary, which shows both Anne’s real youthful handwriting and her father’s obviously adult handwriting, although he signs his entries as “Anne Frank.”
Click to enlarge
Normal copyright on books extends only 70 years after the author’s death. As Anne Frank died of typhus in Bergen Belsen in February 1945, the book theoretically entered the public domain in February 2015. But, as the New York Times went on to say, the Anne Frank Fonds has now decided to try to extend copyright on the book past the 70 year cut-off period by admitting that Otto Frank, who died in 1980, was indeed a “co-author” after all.
Foundation officials “should think very carefully about the consequences“, said Agnès Tricoire, a lawyer in Paris who specializes in intellectual property rights in France, where critics have been the most vociferous and are organizing a challenge. “If you follow their arguments, it means that they have lied for years about the fact that it was only written by Anne Frank.“
Otto Frank. Click to enlarge
The BIC ballpoint pen impossibility:
People already knew that the dairy was written with a BIC ballpoint pen, which was only a prototype at that time and was in no way industrialized, let alone sold on the market. They were commercialized in 1951. This already permitted many people to determine the book to be a fraud as it was physically impossible for Anne Frank to write the diary with a BIC ballpoint pen, unless she was capable of traveling through time, to the future and then return with such a writing medium…
Simon G. Sheppard, author of Anne Frank’s Novel: The Diary is a Fraud, even goes a step further claiming;   “Annelies Marie Frank never kept a diary. What she called her ‘diary’ was a collection of sketches, fictional stories and fantasy letters to the eight members of her imaginary “club.” In 1944 she rewrote the lot, calling it a novel (“een roman”), but this was translated in the Diary to “a romance.” Otto Frank lied when he insisted he had not intended to publish it. First published in 1998, this is the most rigorous debunking of the Anne Frank Diary ever published, and revised in 2001 to include some recent developments in this ongoing saga.”
Conclusion:
Otto Frank, the father of Anne Frank made millions out of the death of her daughter. This is a disgusting display of macabre money making, thus by doing so he shows no respect for her daughter or her memory, while non-Jews are supposed to cry out for the faked, fantasized stories this man made up. I truly hope this new victory of truth will open the eyes of many about the genuine nature of holocaust propaganda, and how morally bankrupt this myth is.
Well be to you all,
Hail Victory,
Der Himmelstern
Sources:
solargeneral.org/anne-frank-di…
www.nytimes.com/2015/11/14/boo…
northerntruthseeker.blogspot.b…
en.wikipedia.org/wiki/Bic_Cris…
archive.org/details/DiaryOfAnn…
www.amazon.co.uk/Anne-Franks-N…
www.darkmoon.me/2017/jews-thro…
Source"
The Truth About the Deep State,"September 19, 2018","by Jake Morphonios — Blackstone Intelligence Network Sept 16, 2018
This 30 minute video is a good primer to share with friends and family who think YOU are a crazy “conspiracy theorist”. The information in this video is detailed and methodical. It explains what the “deep state” is and how it operates – including real examples from known US politicians who are part of the Deep State. Share this video with your friends and family.
Source"
